"Setting","Pleio_Effect","N_Pleio_SNP","AtoB","PhenoA_Specific_Pct_Genetic","PhenoA_Specific_Pct_Total","PhenoA_Pleio_Pct_Genetic","PhenoA_Pleio_Pct_Total","PhenoA_Env_Pct_Total","PhenoB_Causal_Pct_Genetic","PhenoB_Causal_Pct_Total","PhenoB_Pleio_Pct_Genetic","PhenoB_Pleio_Pct_Total","PhenoB_Specific_Pct_Genetic","PhenoB_Specific_Pct_Total","PhenoB_Env_Pct_Total"
"BothPos",0.5,10,0,99.57,19.85,0.43,0.09,80.06,0,0,0.65,0.12,99.35,20.05,79.95
"BothPos",0.5,10,0.1,99.57,19.85,0.43,0.09,80.06,1.44,0.31,0.66,0.13,97.91,19.75,79.96
"BothPos",0.5,10,0.2,99.57,19.85,0.43,0.09,80.06,5.32,1.11,0.65,0.12,94.03,18.96,79.97
"BothPos",0.5,10,0.3,99.57,19.85,0.43,0.09,80.06,11.09,2.29,0.63,0.12,88.28,17.8,79.97
"BothPos",0.5,20,0,99.3,19.88,0.82,0.16,79.98,0,0,1.04,0.2,98.96,19.6,80.32
"BothPos",0.5,20,0.1,99.3,19.88,0.82,0.16,79.98,1.41,0.24,1.07,0.2,97.52,19.33,80.31
"BothPos",0.5,20,0.2,99.3,19.88,0.82,0.16,79.98,5.24,0.96,1.07,0.2,93.69,18.58,80.3
"BothPos",0.5,20,0.3,99.3,19.88,0.82,0.16,79.98,10.95,2.06,1.04,0.2,88.01,17.47,80.28
"BothPos",0.5,30,0,98.51,19.92,1.55,0.31,79.77,0,0,1.91,0.32,98.09,19.77,80.02
"BothPos",0.5,30,0.1,98.51,19.92,1.55,0.31,79.77,1.49,0.25,2.01,0.34,96.5,19.47,80
"BothPos",0.5,30,0.2,98.51,19.92,1.55,0.31,79.77,5.38,0.98,2.04,0.35,92.57,18.7,79.98
"BothPos",0.5,30,0.3,98.51,19.92,1.55,0.31,79.77,11.12,2.09,2.03,0.35,86.85,17.56,79.96
"BothPos",0.5,40,0,98.46,19.85,1.7,0.34,79.84,0,0,2.01,0.31,97.99,19.67,79.95
"BothPos",0.5,40,0.1,98.46,19.85,1.7,0.34,79.84,1.44,0.31,2.08,0.32,96.48,19.36,79.96
"BothPos",0.5,40,0.2,98.46,19.85,1.7,0.34,79.84,5.32,1.11,2.1,0.33,92.58,18.57,79.97
"BothPos",0.5,40,0.3,98.46,19.85,1.7,0.34,79.84,11.08,2.29,2.07,0.32,86.85,17.41,79.98
"BothPos",0.5,50,0,97.22,19.16,2.59,0.51,80.29,0,0,2.07,0.46,97.93,19.55,79.96
"BothPos",0.5,50,0.1,97.22,19.16,2.59,0.51,80.29,1.39,0.35,2.19,0.48,96.42,19.22,79.99
"BothPos",0.5,50,0.2,97.22,19.16,2.59,0.51,80.29,5.2,1.19,2.24,0.49,92.56,18.42,80.02
"BothPos",0.5,50,0.3,97.22,19.16,2.59,0.51,80.29,10.9,2.39,2.23,0.49,86.87,17.26,80.05
"BothPos",1,10,0,98.3,19.58,1.71,0.34,80.08,0,0,2.58,0.5,97.42,19.67,79.95
"BothPos",1,10,0.1,98.3,19.58,1.71,0.34,80.08,1.49,0.32,2.62,0.51,95.9,19.35,79.96
"BothPos",1,10,0.2,98.3,19.58,1.71,0.34,80.08,5.39,1.13,2.58,0.51,92.02,18.56,79.97
"BothPos",1,10,0.3,98.3,19.58,1.71,0.34,80.08,11.15,2.31,2.5,0.49,86.35,17.41,79.97
"BothPos",1,20,0,97.04,19.43,3.19,0.64,79.98,0,0,3.99,0.77,96.01,19.02,80.32
"BothPos",1,20,0.1,97.04,19.43,3.19,0.64,79.98,1.53,0.27,4.1,0.79,94.37,18.71,80.31
"BothPos",1,20,0.2,97.04,19.43,3.19,0.64,79.98,5.43,1,4.1,0.79,90.47,17.95,80.29
"BothPos",1,20,0.3,97.04,19.43,3.19,0.64,79.98,11.15,2.1,4.01,0.77,84.84,16.85,80.28
"BothPos",1,30,0,94.18,19.04,5.94,1.2,79.79,0,0,7.15,1.31,92.85,18.74,79.99
"BothPos",1,30,0.1,94.18,19.04,5.94,1.2,79.79,1.82,0.31,7.46,1.37,90.71,18.33,79.97
"BothPos",1,30,0.2,94.18,19.04,5.94,1.2,79.79,5.94,1.09,7.57,1.4,86.49,17.5,79.95
"BothPos",1,30,0.3,94.18,19.04,5.94,1.2,79.79,11.76,2.22,7.5,1.39,80.74,16.36,79.93
"BothPos",1,40,0,93.83,18.92,6.48,1.31,79.84,0,0,7.48,1.31,92.52,18.61,79.91
"BothPos",1,40,0.1,93.83,18.92,6.48,1.31,79.84,1.69,0.35,7.7,1.36,90.6,18.22,79.92
"BothPos",1,40,0.2,93.83,18.92,6.48,1.31,79.84,5.74,1.18,7.72,1.37,86.54,17.4,79.93
"BothPos",1,40,0.3,93.83,18.92,6.48,1.31,79.84,11.57,2.36,7.55,1.34,80.88,16.26,79.93
"BothPos",1,50,0,90.05,17.75,9.58,1.89,80.29,0,0,8.02,1.69,91.98,18.34,79.98
"BothPos",1,50,0.1,90.05,17.75,9.58,1.89,80.29,1.77,0.44,8.36,1.75,89.87,17.89,80.01
"BothPos",1,50,0.2,90.05,17.75,9.58,1.89,80.29,5.91,1.34,8.46,1.77,85.63,17.02,80.05
"BothPos",1,50,0.3,90.05,17.75,9.58,1.89,80.29,11.81,2.59,8.36,1.74,79.83,15.84,80.08
"BothPos",1.5,10,0,96.25,19.15,3.76,0.75,80.1,0,0,5.64,1.11,94.36,19.05,79.94
"BothPos",1.5,10,0.1,96.25,19.15,3.76,0.75,80.1,1.56,0.34,5.72,1.13,92.72,18.71,79.95
"BothPos",1.5,10,0.2,96.25,19.15,3.76,0.75,80.1,5.5,1.16,5.64,1.11,88.86,17.93,79.97
"BothPos",1.5,10,0.3,96.25,19.15,3.76,0.75,80.1,11.25,2.34,5.44,1.07,83.31,16.8,79.97
"BothPos",1.5,20,0,93.42,18.7,6.91,1.38,79.98,0,0,8.52,1.65,91.48,18.13,80.32
"BothPos",1.5,20,0.1,93.42,18.7,6.91,1.38,79.98,1.72,0.31,8.73,1.69,89.55,17.76,80.3
"BothPos",1.5,20,0.2,93.42,18.7,6.91,1.38,79.98,5.74,1.07,8.72,1.69,85.54,16.98,80.29
"BothPos",1.5,20,0.3,93.42,18.7,6.91,1.38,79.98,11.5,2.18,8.51,1.65,79.99,15.89,80.28
"BothPos",1.5,30,0,87.71,17.72,12.45,2.52,79.8,0,0,14.71,2.77,85.29,17.24,79.97
"BothPos",1.5,30,0.1,87.71,17.72,12.45,2.52,79.8,2.3,0.41,15.22,2.88,82.49,16.7,79.95
"BothPos",1.5,30,0.2,87.71,17.72,12.45,2.52,79.8,6.72,1.25,15.31,2.91,77.96,15.8,79.93
"BothPos",1.5,30,0.3,87.71,17.72,12.45,2.52,79.8,12.66,2.4,15.06,2.86,72.28,14.67,79.91
"BothPos",1.5,40,0,86.93,17.52,13.5,2.72,79.84,0,0,15.33,2.81,84.67,17.06,79.88
"BothPos",1.5,40,0.1,86.93,17.52,13.5,2.72,79.84,2.05,0.42,15.65,2.88,82.3,16.58,79.88
"BothPos",1.5,40,0.2,86.93,17.52,13.5,2.72,79.84,6.33,1.28,15.56,2.87,78.1,15.73,79.89
"BothPos",1.5,40,0.3,86.93,17.52,13.5,2.72,79.84,12.24,2.47,15.13,2.79,72.63,14.63,79.89
"BothPos",1.5,50,0,80.29,15.82,19.22,3.79,80.29,0,0,16.54,3.43,83.46,16.63,80
"BothPos",1.5,50,0.1,80.29,15.82,19.22,3.79,80.29,2.3,0.55,17.03,3.52,80.67,16.04,80.03
"BothPos",1.5,50,0.2,80.29,15.82,19.22,3.79,80.29,6.86,1.54,17.06,3.51,76.08,15.1,80.07
"BothPos",1.5,50,0.3,80.29,15.82,19.22,3.79,80.29,13.03,2.85,16.67,3.43,70.3,13.93,80.1
"BothPos",2,10,0,93.52,18.59,6.49,1.29,80.12,0,0,9.64,1.91,90.36,18.25,79.94
"BothPos",2,10,0.1,93.52,18.59,6.49,1.29,80.12,1.66,0.37,9.73,1.93,88.6,17.89,79.95
"BothPos",2,10,0.2,93.52,18.59,6.49,1.29,80.12,5.64,1.19,9.59,1.9,84.78,17.11,79.96
"BothPos",2,10,0.3,93.52,18.59,6.49,1.29,80.12,11.37,2.37,9.23,1.83,79.4,16.02,79.97
"BothPos",2,20,0,88.75,17.77,11.67,2.34,79.98,0,0,14.17,2.75,85.83,17.02,80.31
