"Setting","Pleio_Effect","N_Pleio_SNP","AtoB","PhenoA_Specific_Pct_Genetic","PhenoA_Specific_Pct_Total","PhenoA_Pleio_Pct_Genetic","PhenoA_Pleio_Pct_Total","PhenoA_Env_Pct_Total","PhenoB_Causal_Pct_Genetic","PhenoB_Causal_Pct_Total","PhenoB_Pleio_Pct_Genetic","PhenoB_Pleio_Pct_Total","PhenoB_Specific_Pct_Genetic","PhenoB_Specific_Pct_Total","PhenoB_Env_Pct_Total"
"BothPos",0.5,10,0,99.55,19.88,0.3,0.06,80.04,0,0,0.57,0.08,99.43,20.3,80.1
"BothPos",0.5,10,0.1,99.42,20.06,0.81,0.16,79.83,0.89,0.16,0.37,0.05,98.73,19.55,80.15
"BothPos",0.5,10,0.2,99.14,19.75,0.7,0.14,80.08,3.97,0.92,0.64,0.11,95.4,19.05,80.04
"BothPos",0.5,10,0.3,99.43,20.07,0.51,0.1,79.82,8.4,1.81,0.22,0.04,91.38,17.95,79.97
"BothPos",0.5,20,0,98.36,19.82,1.39,0.28,79.85,0,0,1.73,0.36,98.27,19.59,79.7
"BothPos",0.5,20,0.1,98.76,19.52,1.38,0.27,80.23,0.95,0.15,0.64,0.12,98.41,19.42,80.47
"BothPos",0.5,20,0.2,98.7,19.95,1.11,0.22,79.79,3.48,0.59,1,0.13,95.52,19.41,79.95
"BothPos",0.5,20,0.3,98.5,19.4,1.62,0.32,80.31,8.14,1.63,1.27,0.23,90.59,17.93,80.16
"BothPos",0.5,30,0,98.55,19.52,1.56,0.31,80.19,0,0,1.85,0.32,98.15,19.59,79.96
"BothPos",0.5,30,0.1,97.64,19.54,2.11,0.42,79.99,0.95,0.19,1.57,0.31,97.48,19.5,79.91
"BothPos",0.5,30,0.2,98.34,19.73,1.59,0.32,79.94,4.34,0.91,1.44,0.3,94.22,18.64,80.07
"BothPos",0.5,30,0.3,97.95,19.68,1.9,0.38,79.91,7.84,1.61,1.68,0.31,90.48,18.25,79.75
"BothPos",0.5,40,0,97.7,19.48,2.28,0.45,80.07,0,0,2.6,0.54,97.4,19.14,80.03
"BothPos",0.5,40,0.1,97.81,19.62,1.99,0.4,79.94,1.02,0.22,1.97,0.41,97.01,19.7,79.86
"BothPos",0.5,40,0.2,97.87,19.63,2.35,0.47,79.94,4.59,1,3.82,0.81,91.59,17.88,79.62
"BothPos",0.5,40,0.3,98.03,19.38,1.85,0.37,80.23,9.52,1.88,2.76,0.53,87.72,17.79,79.81
"BothPos",0.5,50,0,97.28,19.31,2.74,0.54,80.16,0,0,3.6,0.81,96.4,19.16,79.88
"BothPos",0.5,50,0.1,96.54,19.16,3.54,0.7,80.15,1.23,0.28,2.51,0.5,96.25,19.62,80.15
"BothPos",0.5,50,0.2,97.1,19.48,3.53,0.71,79.94,3.67,0.75,3.5,0.69,92.83,18.65,79.97
"BothPos",0.5,50,0.3,96.49,19.33,3.67,0.73,79.97,8.72,1.75,4.42,0.96,86.86,17.17,80.06
"BothPos",1,10,0,97.23,19.52,3.11,0.62,79.92,0,0,1.73,0.33,98.27,20.01,79.91
"BothPos",1,10,0.1,97.17,19.42,2.92,0.58,80.01,0.88,0.16,2.94,0.61,96.18,18.81,80.28
